"region","id"
"Albania","8"
"American Samoa","16"
"Andorra","20"
"Angola","24"
"Antigua","28"
"Aruba","533"
"Bangladesh","50"
"Belize","84"
"Benin","204"
"Bhutan","64"
"Boliva","68"
"Bosnia and Herzegovina","70"
"Brunei","96"
"Burkina Faso","854"
"Cambodia","116"
"Cape Verde","132"
"Cayman Islands","136"
"Central African Republic","140"
"Chad","148"
"Comoros","174"
"Cook Islands","184"
"Democratic Republic of the Congo","180"
"Dominica","212"
"El Salvador","222"
"Equatorial Guinea","226"
"Gambia","270"
"Guam","316"
"Guinea","324"
"Guinea-Bissau","624"
"Honduras","340"
"Kiribati","296"
"Laos","418"
"Lesotho","426"
"Liberia","430"
"Libya","434"
"Madagascar","450"
"Malawi","454"
"Maldives","462"
"Mali","466"
"Malta","470"
"Marshall Islands","584"
"Mauritania","478"
"Micronesia","583"
"Myanmar","104"
"Nauru","520"
"Nicaragua","558"
"Oman","512"
"Palau","585"
"Palestine","275"
"Papua New Guinea","598"
"Refugee Olympic Team",NA
"Republic of Congo","178"
"Rwanda","646"
"Saint Kitts","659"
"Saint Lucia","662"
"Saint Vincent","670"
"Samoa","882"
"San Marino","674"
"Sao Tome and Principe","678"
"Seychelles","690"
"Sierra Leone","694"
"Solomon Islands","90"
"Somalia","706"
"South Sudan","728"
"Swaziland","748"
"Timor-Leste","626"
"Turkmenistan","795"
"Tuvalu","798"
"Vanuatu","548"
"Virgin Islands, British","92"
"Yemen","887"
